
-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-
Test Set: ESD_Set.xls
 

Test Case: BP_001 - Login_ESD_Ad
11:05:07 AM	| Run 	| Login()
11:05:08 AM	| 1	| Login()

Test Case: BP_002 - New_BP_Successfull: Create BP-Add New MetaData-Add New DocTypes
11:05:12 AM	| Run 	| New_BP()
11:05:16 AM	| 1	| Get 'Button' with name 'BP_btn_err_BPNotEmpty_OK' at Browser 'eSkyDesk Management' successfully   --> Passed
11:05:16 AM	| 1	| Press button 'BP_btn_err_BPNotEmpty_OK' at Browser 'eSkyDesk Management' successfully  --> Passed
11:05:20 AM	| 1	| Get 'Button' with name 'BP_btn_Save_NewBP' at Browser 'eSkyDesk Management' successfully   --> Passed
11:05:20 AM	| 1	| Press button 'BP_btn_Save_NewBP' at Browser 'eSkyDesk Management' successfully  --> Passed
11:05:23 AM	| 1	| Get 'Button' with name 'BP_btn_err_BPNotEmpty_OK' at Browser 'eSkyDesk Management' successfully   --> Passed
11:05:23 AM	| 1	| Press button 'BP_btn_err_BPNotEmpty_OK' at Browser 'eSkyDesk Management' successfully  --> Passed
11:05:24 AM	| 1	| New_BP()
11:05:24 AM	| Run 	| Add_MetaData()
11:05:28 AM	| 1	| Get 'Button' with name 'BP_btn_Add Meta Data' at Browser 'eSkyDesk Management' successfully   --> Passed
11:05:28 AM	| 1	| Press button 'BP_btn_Add Meta Data' at Browser 'eSkyDesk Management' successfully  --> Passed
11:05:31 AM	| 1	| Get 'Button' with name 'BP_btn_NewFileMetaData_OK' at Browser 'eSkyDesk Management' successfully   --> Passed
11:05:31 AM	| 1	| Press button 'BP_btn_NewFileMetaData_OK' at Browser 'eSkyDesk Management' successfully  --> Passed
